NumVars;NumLiterals;ConfigTime;EncodingRequests
4;4;;AtLeast(4, 1)
198;1014;;Exactly(4, 0), AtLeast(14, 7), Exactly(4, 1), AtLeast(14, 4), Exactly(4, 2), Exactly(4, 3), Exactly(4, 4)
;;;
202;1018;-1.0;
