NumVars;NumLiterals;ConfigTime;EncodingRequests
15;31609;;Exactly(1, 0), Exactly(1, 0), AtLeast(13, 8), Exactly(1, 1), AtLeast(13, 7), Exactly(1, 1), Exactly(1, 0), AtLeast(13, 5), Exactly(1, 1), AtLeast(13, 4)
;;;
15;31609;-1.0;
