NumVars;NumLiterals;ConfigTime;EncodingRequests
11;1202;;Exactly(1, 0), AtLeast(10, 4), Exactly(1, 1), AtLeast(10, 3)
3;3;;AtLeast(3, 1)
;;;
14;1205;-1.0;
