NumVars;NumLiterals;ConfigTime;EncodingRequests
2;2;;AtLeast(2, 1)
5;5;;AtLeast(5, 1)
2;2;;AtLeast(2, 1)
237;1232;;Exactly(2, 0), AtLeast(16, 7), Exactly(2, 1), AtLeast(16, 4), Exactly(2, 2)
;;;
246;1241;-1.0;
